num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant
ID_100338;1;2;113.645;R3;F2;M3
ID_100414;6;3;76.993333333;R2;F2;M2
ID_100415;5;1;155.8;R2;F1;M3
ID_100497;1;2;124.745;R3;F2;M3
ID_100580;7;4;46.1925;R1;F3;M1
ID_101053;12;1;26.5;R1;F1;M1
ID_101520;4;2;27.05;R2;F2;M1
ID_101800;12;1;16.7;R1;F1;M1
ID_102018;5;2;40.75;R2;F2;M1
ID_102459;6;2;142.845;R2;F2;M3
ID_102464;5;4;74.4975;R2;F3;M2
ID_102538;4;1;485.49;R2;F1;M3
ID_102544;6;2;91.25;R2;F2;M2
ID_102605;1;1;16.99;R3;F1;M1
ID_102619;7;1;35;R1;F1;M1
ID_102667;1;4;61.475;R3;F3;M2
ID_102776;1;5;78.976;R3;F3;M2
ID_102825;4;2;261.265;R2;F2;M3
ID_102891;5;5;69.0975;R2;F3;M2
ID_102907;2;2;60.105;R3;F2;M2
ID_103086;5;4;106.4;R2;F3;M3
ID_103230;1;2;54.015;R3;F2;M2
ID_103298;1;2;65.99;R3;F2;M2
ID_103393;10;1;49.8;R1;F1;M1
ID_103421;3;1;17.3;R2;F1;M1
ID_103446;4;2;69.465;R2;F2;M2
ID_103641;11;1;36.3;R1;F1;M1
ID_103666;1;1;10.94;R3;F1;M1
ID_103843;4;1;60.25;R2;F1;M2
ID_103884;2;5;33.232;R3;F3;M1
ID_103930;3;1;154.99;R2;F1;M3
ID_103965;2;4;41.575;R3;F3;M1
ID_104100;7;1;47.25;R1;F1;M1
ID_104163;4;4;310.495;R2;F3;M3
ID_104308;7;3;59.393333333;R1;F2;M2
ID_104321;11;1;58.99;R1;F1;M2
ID_104339;2;6;144.99666667;R3;F3;M3
ID_104435;9;1;13.99;R1;F1;M1
ID_104465;4;1;97.5;R2;F1;M2
ID_104487;9;2;34.095;R1;F2;M1
ID_104491;3;3;46.393333333;R2;F2;M1
ID_104537;5;1;29.49;R2;F1;M1
ID_104811;1;6;26.631666667;R3;F3;M1
ID_104837;9;4;412.5;R1;F3;M3
ID_104857;2;3;88.85;R3;F2;M2
